log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean,is_attack
auditd,asus-x415ja,2026-07-01 11:18:54.623000+00:00,2026-07-01 11:22:14.818000+00:00,200.2,7,4,"gnome-text-edit, tail, df","proc_rarity (3), exe_path_rarity (3), parent_child_rarity (1)",46.4168,23.3418,0
auditd,asus-x415ja,2026-07-02 07:35:01.963000+00:00,2026-07-02 07:43:12.688000+00:00,490.7,8,5,"pavucontrol, cron, pool-pavucontro","inter_arrival_log (3), proc_rarity (3), exe_path_rarity (2)",46.4167,19.6794,0
auditd,asus-x415ja,2026-07-02 06:25:01.472000+00:00,2026-07-02 06:29:49.130000+00:00,287.7,461,126,"cp, mkdir, ln","parent_child_rarity (269), proc_rarity (98), exe_path_rarity (34)",46.4167,22.3226,0
auditd,asus-x415ja,2026-07-01 12:43:22.821000+00:00,2026-07-01 12:47:24.934000+00:00,242.1,3,2,"sed, clear","parent_child_rarity (2), proc_rarity (1)",46.4165,29.8344,0
auditd,asus-x415ja,2026-07-01 11:38:45.128000+00:00,2026-07-01 11:38:52.337000+00:00,7.2,23,4,"useradd, userdel, python3","et_bigram_rarity (18), syscall_rarity (4), cmd_entropy (1)",46.4165,21.7551,1
syslog,ASUS-X415JA,2026-06-22 13:33:47.370000+00:00,2026-06-22 13:38:32.188000+00:00,284.8,3,3,"dockerd, CRON, whoopsie","et_bigram_rarity (2), proc_rarity (1)",45.8411,27.8908,0
syslog,ASUS-X415JA,2026-06-22 12:26:48.426000+00:00,2026-06-22 12:29:34.771000+00:00,166.3,4,4,"dockerd, systemd-timesyncd, wpa_supplicant","et_bigram_rarity (2), inter_arrival_log (1), proc_rarity (1)",45.8411,23.3259,0
syslog,ASUS-X415JA,2026-06-25 12:55:01.790000+00:00,2026-06-25 12:56:46.386000+00:00,104.6,3,3,"CRON, systemd-timesyncd, kernel",et_bigram_rarity (3),45.8411,33.4733,0
syslog,ASUS-X415JA,2026-06-25 14:43:15.496000+00:00,2026-06-25 14:43:15.496000+00:00,0.0,1,1,dockerd,et_bigram_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-25 15:26:07.571000+00:00,2026-06-25 15:26:07.571000+00:00,0.0,1,1,check-new-release-gtk,proc_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-25 16:49:49.238000+00:00,2026-06-25 16:49:49.238000+00:00,0.0,1,1,evince,et_bigram_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-25 08:08:52.284000+00:00,2026-06-25 08:08:52.284000+00:00,0.0,1,1,nm-dispatcher,proc_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-25 10:04:02.803000+00:00,2026-06-25 10:07:49.085000+00:00,226.3,8,8,"rsyslogd, kernel, systemd-udevd","et_bigram_rarity (6), inter_arrival_log (2)",45.8411,21.9795,0
syslog,ASUS-X415JA,2026-06-25 06:55:21.797000+00:00,2026-06-25 06:55:21.797000+00:00,0.0,1,1,systemd-timesyncd,et_bigram_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-24 14:55:42.940000+00:00,2026-06-24 14:59:47.044000+00:00,244.1,2,2,"systemd-timesyncd, rtkit-daemon",et_bigram_rarity (2),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-23 07:36:34.522000+00:00,2026-06-23 07:39:31.915000+00:00,177.4,5,5,"NetworkManager, systemd-timesyncd, systemd","et_bigram_rarity (2), inter_arrival_log (2), proc_rarity (1)",45.8411,26.0997,0
syslog,ASUS-X415JA,2026-06-23 08:30:01.170000+00:00,2026-06-23 08:30:01.170000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-20 14:05:01.020000+00:00,2026-06-20 14:05:01.020000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-21 09:45:26.478000+00:00,2026-06-21 09:46:26.816000+00:00,60.3,5,4,"charon, kernel, systemd-udevd","et_bigram_rarity (4), inter_arrival_log (1)",45.8411,24.3786,0
auditd,asus-x415ja,2026-07-01 09:26:24.998000+00:00,2026-07-01 09:30:07.521000+00:00,222.5,32,5,"useradd, userdel, sudo","et_bigram_rarity (26), syscall_rarity (4), parent_child_rarity (2)",45.0304,24.4253,0
auditd,asus-x415ja,2026-07-02 06:16:56.563000+00:00,2026-07-02 06:18:34.502000+00:00,97.9,8,2,"plugins-curated, (udev-worker)","exe_path_rarity (5), et_bigram_rarity (2), inter_arrival_log (1)",45.0302,17.9333,0
auditd,asus-x415ja,2026-07-01 17:46:07.880000+00:00,2026-07-01 17:46:26+00:00,18.1,10,6,"(udev-worker), hdparm, snap-confine","et_bigram_rarity (7), syscall_rarity (2), inter_arrival_log (1)",45.0302,22.6458,0
auth,ASUS-X415JA,2026-06-22 12:49:50.730000+00:00,2026-06-22 12:50:35.262000+00:00,44.5,67,4,"sshd, userdel, sudo","distinct_users_5m_ip (33), user_rarity (27), msg_length_log (3)",39.2219,13.3517,0
auth,ASUS-X415JA,2026-06-28 16:27:55.230000+00:00,2026-06-28 16:28:17.890000+00:00,22.7,64,3,"sshd, userdel, useradd","distinct_users_5m_ip (58), et_bigram_rarity (2), inter_arrival_log (1)",35.2892,14.0306,0
syslog,ASUS-X415JA,2026-06-27 07:06:01.465000+00:00,2026-06-27 07:10:01.226000+00:00,239.8,4,4,"systemd-modules-load, kernel, systemd","inter_arrival_log (2), et_bigram_rarity (2)",34.4723,19.1309,0
syslog,ASUS-X415JA,2026-06-20 14:18:30.503000+00:00,2026-06-20 14:18:30.503000+00:00,0.0,1,1,dockerd,et_bigram_rarity (1),33.7105,33.7105,0
syslog,ASUS-X415JA,2026-06-25 16:55:01.515000+00:00,2026-06-25 16:55:01.515000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),33.3648,33.3648,0
auth,ASUS-X415JA,2026-07-01 09:29:50.088000+00:00,2026-07-01 09:30:05.479000+00:00,15.4,62,3,"sshd, useradd, userdel","distinct_users_5m_ip (59), inter_arrival_log (1), distinct_ips_5m_user (1)",32.9543,15.1392,0
auth,ASUS-X415JA,2026-06-22 13:57:10.670000+00:00,2026-06-22 13:57:10.811000+00:00,0.1,7,3,"userdel, sudo, useradd","msg_length_log (3), et_bigram_rarity (2), distinct_ips_5m_user (1)",31.6256,11.6038,0
auditd,asus-x415ja,2026-07-02 07:48:36.788000+00:00,2026-07-02 07:48:36.871000+00:00,0.1,8,7,"release-upgrade, (ade-motd), date","proc_rarity (5), parent_child_rarity (3)",31.4095,21.6752,0
auditd,asus-x415ja,2026-07-01 14:31:47.520000+00:00,2026-07-01 14:31:47.852000+00:00,0.3,5,2,"git, sh",parent_child_rarity (5),31.1932,23.8126,0
auditd,asus-x415ja,2026-07-01 10:53:42.871000+00:00,2026-07-01 10:54:13.187000+00:00,30.3,6,3,"systemctl, head, pool-gnome-term",parent_child_rarity (6),31.1628,16.5044,0
auditd,asus-x415ja,2026-07-01 13:50:32.352000+00:00,2026-07-01 13:50:33.189000+00:00,0.8,6,5,"check-new-relea, pool-check-new-, dpkg",parent_child_rarity (6),30.1617,14.9958,0
syslog,ASUS-X415JA,2026-06-22 12:59:53.736000+00:00,2026-06-22 12:59:53.736000+00:00,0.0,2,1,fstrim,proc_rarity (2),29.8538,27.0533,0
auditd,asus-x415ja,2026-07-01 11:27:20.896000+00:00,2026-07-01 11:29:33.715000+00:00,132.8,2,2,"echo, df","parent_child_rarity (1), exe_path_rarity (1)",29.0431,19.6361,0
auditd,asus-x415ja,2026-07-01 11:06:20.492000+00:00,2026-07-01 11:06:20.492000+00:00,0.0,1,1,echo,parent_child_rarity (1),29.016,29.016,0
auditd,asus-x415ja,2026-07-01 18:06:06.032000+00:00,2026-07-01 18:06:06.045000+00:00,0.0,3,3,"bash, alsactl, (apport)","et_bigram_rarity (1), exe_path_rarity (1), parent_child_rarity (1)",28.6699,21.7998,0
auth,ASUS-X415JA,2026-06-27 09:16:40.579000+00:00,2026-06-27 09:16:40.579000+00:00,0.0,1,0,,distinct_ips_5m_user (1),27.0334,27.0334,0
syslog,ASUS-X415JA,2026-06-22 12:47:29.454000+00:00,2026-06-22 12:47:29.454000+00:00,0.0,1,1,containerd,et_bigram_rarity (1),25.7546,25.7546,0
syslog,ASUS-X415JA,2026-06-21 10:31:57.311000+00:00,2026-06-21 10:31:57.311000+00:00,0.0,1,1,dnsmasq-dhcp,proc_rarity (1),24.0402,24.0402,0
auth,ASUS-X415JA,2026-07-01 11:38:29.678000+00:00,2026-07-01 11:38:50.270000+00:00,20.6,63,4,"sshd, useradd, sudo","distinct_users_5m_ip (59), msg_length_log (2), inter_arrival_log (1)",23.1851,15.335,1
syslog,ASUS-X415JA,2026-06-20 11:07:13.630000+00:00,2026-06-20 11:08:02.616000+00:00,49.0,3,3,"evolution-calen, systemd-timesyncd, charon","proc_rarity (1), et_bigram_rarity (1), inter_arrival_log (1)",21.3206,16.708,0
syslog,ASUS-X415JA,2026-06-25 07:31:15.158000+00:00,2026-06-25 07:31:15.158000+00:00,0.0,1,1,systemd-timesyncd,et_bigram_rarity (1),21.2186,21.2186,0
syslog,ASUS-X415JA,2026-06-21 12:10:14.761000+00:00,2026-06-21 12:10:14.761000+00:00,0.0,1,1,dnsmasq-dhcp,proc_rarity (1),19.9141,19.9141,0
auth,ASUS-X415JA,2026-06-22 13:40:11.078000+00:00,2026-06-22 13:40:41.598000+00:00,30.5,60,1,sshd,"distinct_users_5m_ip (58), inter_arrival_log (1), auth_fail_ratio (1)",18.3479,12.7537,0
syslog,ASUS-X415JA,2026-06-25 06:41:53.632000+00:00,2026-06-25 06:42:08.065000+00:00,14.4,3,2,"systemd, systemd-timesyncd","inter_arrival_log (2), et_bigram_rarity (1)",17.6001,13.6499,0
syslog,ASUS-X415JA,2026-06-25 10:40:22.549000+00:00,2026-06-25 10:40:50.730000+00:00,28.2,3,2,"google-chrome.desktop, systemd-timesyncd",et_bigram_rarity (3),17.3531,14.6762,0
syslog,ASUS-X415JA,2026-06-24 13:45:40.575000+00:00,2026-06-24 13:45:40.575000+00:00,0.0,1,1,dockerd,et_bigram_rarity (1),17.1853,17.1853,0
syslog,ASUS-X415JA,2026-06-20 13:32:58.443000+00:00,2026-06-20 13:33:04.487000+00:00,6.0,2,1,google-chrome.desktop,et_bigram_rarity (2),14.9329,13.7214,0
syslog,ASUS-X415JA,2026-06-27 09:16:25.230000+00:00,2026-06-27 09:16:25.230000+00:00,0.0,2,2,"kernel, systemd-udevd",et_bigram_rarity (2),14.7891,14.7865,0
syslog,ASUS-X415JA,2026-06-25 10:58:15.181000+00:00,2026-06-25 10:58:45.931000+00:00,30.8,3,2,"systemd-timesyncd, google-chrome.desktop",et_bigram_rarity (3),14.5961,12.5337,0
auth,ASUS-X415JA,2026-06-22 13:09:30.630000+00:00,2026-06-22 13:09:31.689000+00:00,1.1,4,1,sshd,"auth_fail_ratio (3), inter_arrival_log (1)",13.3351,7.2896,0
syslog,ASUS-X415JA,2026-06-24 13:34:51.422000+00:00,2026-06-24 13:35:38.451000+00:00,47.0,3,3,"rsyslogd, systemd-timesyncd, systemd","et_bigram_rarity (2), inter_arrival_log (1)",12.9754,12.1651,0
syslog,ASUS-X415JA,2026-06-23 08:10:48.959000+00:00,2026-06-23 08:10:48.959000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),10.8691,10.8691,0
auditd,asus-x415ja,2026-07-01 08:51:54.349000+00:00,2026-07-01 08:51:57.118000+00:00,2.8,2,2,"apt.systemd.dai, apt-get","parent_child_rarity (1), et_bigram_rarity (1)",10.8678,8.8504,0
syslog,ASUS-X415JA,2026-06-20 15:45:37.051000+00:00,2026-06-20 15:45:37.051000+00:00,0.0,1,1,google-chrome.desktop,et_bigram_rarity (1),10.6665,10.6665,0
auditd,asus-x415ja,2026-07-01 10:59:16.278000+00:00,2026-07-01 11:00:53.693000+00:00,97.4,3,3,"sudo, snap-confine, snap-update-ns","syscall_rarity (2), et_bigram_rarity (1)",10.5772,8.5626,0
syslog,ASUS-X415JA,2026-06-19 22:49:50.545000+00:00,2026-06-19 22:49:50.545000+00:00,0.0,1,1,wpa_supplicant,et_bigram_rarity (1),10.5155,10.5155,0
auditd,asus-x415ja,2026-07-01 14:00:18.981000+00:00,2026-07-01 14:00:18.988000+00:00,0.0,2,2,"snap-confine, snap-update-ns",syscall_rarity (2),10.2596,8.7441,0
auditd,asus-x415ja,2026-07-01 12:16:09.758000+00:00,2026-07-01 12:16:09.758000+00:00,0.0,1,1,hdparm,inter_arrival_log (1),9.6624,9.6624,0
auditd,asus-x415ja,2026-07-02 08:00:29.505000+00:00,2026-07-02 08:00:30.350000+00:00,0.8,3,2,"snap-update-ns, snap-confine",syscall_rarity (3),9.6238,8.5586,0
auditd,asus-x415ja,2026-07-02 10:55:01.396000+00:00,2026-07-02 11:05:01.463000+00:00,600.1,5,4,"cron, (sa1), snap-confine","inter_arrival_log (3), syscall_rarity (2)",9.0329,7.3471,0
auditd,asus-x415ja,2026-07-01 16:34:11.735000+00:00,2026-07-01 16:34:11.735000+00:00,0.0,1,1,hdparm,inter_arrival_log (1),7.4096,7.4096,0
auditd,asus-x415ja,2026-07-02 07:00:01.713000+00:00,2026-07-02 07:00:01.713000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1365,7.1365,0
auditd,asus-x415ja,2026-07-02 09:40:01.859000+00:00,2026-07-02 09:40:01.859000+00:00,0.0,1,0,,inter_arrival_log (1),7.1364,7.1364,0
auditd,asus-x415ja,2026-07-02 08:25:01.309000+00:00,2026-07-02 08:25:01.309000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1361,7.1361,0
auditd,asus-x415ja,2026-07-02 09:25:01.749000+00:00,2026-07-02 09:25:01.749000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1356,7.1356,0
auditd,asus-x415ja,2026-07-02 10:40:01.287000+00:00,2026-07-02 10:40:01.287000+00:00,0.0,1,0,,inter_arrival_log (1),7.1354,7.1354,0
auditd,asus-x415ja,2026-07-02 10:15:01.095000+00:00,2026-07-02 10:15:01.095000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.135,7.135,0
auditd,asus-x415ja,2026-07-02 10:00:01.986000+00:00,2026-07-02 10:05:01.025000+00:00,299.0,2,1,cron,inter_arrival_log (2),7.1349,6.5479,0
auditd,asus-x415ja,2026-07-02 10:10:01.055000+00:00,2026-07-02 10:10:01.055000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1348,7.1348,0
auditd,asus-x415ja,2026-07-02 10:50:01.356000+00:00,2026-07-02 10:50:01.356000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1341,7.1341,0
auditd,asus-x415ja,2026-07-02 11:15:01.530000+00:00,2026-07-02 11:15:01.530000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1337,7.1337,0
auditd,asus-x415ja,2026-07-02 09:45:01.892000+00:00,2026-07-02 09:45:01.892000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1219,7.1219,0
auditd,asus-x415ja,2026-07-02 10:45:01.324000+00:00,2026-07-02 10:45:01.324000+00:00,0.0,1,1,cron,inter_arrival_log (1),7.1214,7.1214,0
auditd,asus-x415ja,2026-07-02 11:55:01.975000+00:00,2026-07-02 12:00:01.030000+00:00,299.1,2,1,cron,inter_arrival_log (2),7.1209,6.6899,0
auditd,asus-x415ja,2026-07-02 12:05:01.090000+00:00,2026-07-02 12:07:55.519000+00:00,174.4,2,2,"cron, (sd-bright)",inter_arrival_log (2),7.1208,6.5503,0
auditd,asus-x415ja,2026-07-02 07:54:52.462000+00:00,2026-07-02 07:54:52.462000+00:00,0.0,1,1,code,inter_arrival_log (1),6.9932,6.9932,0
auditd,asus-x415ja,2026-07-02 10:35:01.252000+00:00,2026-07-02 10:35:01.252000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.9089,6.9089,0
auditd,asus-x415ja,2026-07-02 11:25:01.646000+00:00,2026-07-02 11:30:00.404000+00:00,298.8,2,2,"cron, (sa1)",inter_arrival_log (2),6.628,6.6086,0
auditd,asus-x415ja,2026-07-01 10:42:49.636000+00:00,2026-07-01 10:42:49.636000+00:00,0.0,1,1,wc,exe_path_rarity (1),6.4797,6.4797,0
auditd,asus-x415ja,2026-07-02 10:25:01.188000+00:00,2026-07-02 10:28:28.922000+00:00,207.7,2,1,(fwupdmgr),inter_arrival_log (2),6.3852,6.3539,0
auditd,asus-x415ja,2026-07-02 11:50:01.915000+00:00,2026-07-02 11:50:01.915000+00:00,0.0,1,0,,inter_arrival_log (1),6.2026,6.2026,0
auditd,asus-x415ja,2026-07-02 06:45:01.618000+00:00,2026-07-02 06:50:00.747000+00:00,299.1,2,2,"cron, (sa1)",inter_arrival_log (2),6.1243,6.1162,0
auditd,asus-x415ja,2026-07-02 09:50:01.924000+00:00,2026-07-02 09:53:06.033000+00:00,184.1,2,1,(fwupdmgr),inter_arrival_log (2),6.0772,6.0417,0
auditd,asus-x415ja,2026-07-02 06:55:01.680000+00:00,2026-07-02 06:55:01.680000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0579,6.0579,0
auditd,asus-x415ja,2026-07-02 07:30:01.929000+00:00,2026-07-02 07:30:01.929000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0531,6.0531,0
auditd,asus-x415ja,2026-07-02 08:20:01.272000+00:00,2026-07-02 08:20:01.272000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0476,6.0476,0
auditd,asus-x415ja,2026-07-02 10:20:01.143000+00:00,2026-07-02 10:20:01.143000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0464,6.0464,0
auditd,asus-x415ja,2026-07-02 08:55:01.526000+00:00,2026-07-02 08:55:01.526000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0336,6.0336,0
auditd,asus-x415ja,2026-07-02 08:30:01.341000+00:00,2026-07-02 08:30:01.341000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0316,6.0316,0
auditd,asus-x415ja,2026-07-02 11:10:01.494000+00:00,2026-07-02 11:10:01.494000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.9646,5.9646,0
auditd,asus-x415ja,2026-07-02 11:45:01.863000+00:00,2026-07-02 11:45:01.863000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.948,5.948,0
auditd,asus-x415ja,2026-07-02 11:20:01.576000+00:00,2026-07-02 11:20:01.576000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.926,5.926,0
auditd,asus-x415ja,2026-07-02 09:30:01.785000+00:00,2026-07-02 09:30:01.785000+00:00,0.0,1,0,,inter_arrival_log (1),5.8761,5.8761,0
auditd,asus-x415ja,2026-07-02 11:40:01.804000+00:00,2026-07-02 11:40:01.804000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.7746,5.7746,0
auditd,asus-x415ja,2026-07-02 06:40:01.576000+00:00,2026-07-02 06:40:01.576000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.7385,5.7385,0
auth,ASUS-X415JA,2026-06-25 16:07:27.240000+00:00,2026-06-25 16:07:27.240000+00:00,0.0,1,1,sudo,msg_length_log (1),4.8945,4.8945,0
auth,ASUS-X415JA,2026-07-01 06:38:03.792000+00:00,2026-07-01 06:38:03.792000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),4.4219,4.4219,0
auth,ASUS-X415JA,2026-06-16 16:35:42.999000+00:00,2026-06-16 16:36:17.216000+00:00,34.2,3,1,sudo,msg_length_log (3),4.4064,4.2273,0
auth,ASUS-X415JA,2026-06-28 11:28:25.731000+00:00,2026-06-28 11:28:25.731000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),4.4055,4.4055,0
auth,ASUS-X415JA,2026-06-20 14:35:50.750000+00:00,2026-06-20 14:35:50.750000+00:00,0.0,1,1,sudo,msg_length_log (1),4.3476,4.3476,0
auth,ASUS-X415JA,2026-07-01 10:59:25.858000+00:00,2026-07-01 10:59:25.858000+00:00,0.0,1,1,sudo,msg_length_log (1),4.1139,4.1139,0
auth,ASUS-X415JA,2026-06-22 14:29:28.484000+00:00,2026-06-22 14:29:28.484000+00:00,0.0,1,1,sudo,msg_length_log (1),4.0746,4.0746,0
auth,ASUS-X415JA,2026-06-22 14:15:37.919000+00:00,2026-06-22 14:15:48.703000+00:00,10.8,2,1,sudo,msg_length_log (2),4.0557,3.9466,0
auth,ASUS-X415JA,2026-06-25 15:15:08.851000+00:00,2026-06-25 15:15:08.851000+00:00,0.0,1,1,sudo,msg_length_log (1),3.9162,3.9162,0
auth,ASUS-X415JA,2026-06-16 16:52:33.312000+00:00,2026-06-16 16:54:47.678000+00:00,134.4,3,1,sudo,msg_length_log (3),3.8824,3.8082,0
auth,ASUS-X415JA,2026-06-21 12:10:08.741000+00:00,2026-06-21 12:10:08.741000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),3.8562,3.8562,0
auth,ASUS-X415JA,2026-07-01 11:18:58.639000+00:00,2026-07-01 11:18:58.639000+00:00,0.0,1,1,sudo,msg_length_log (1),3.8198,3.8198,0
auth,ASUS-X415JA,2026-06-16 16:22:29.435000+00:00,2026-06-16 16:22:52.649000+00:00,23.2,2,1,sudo,msg_length_log (2),3.8113,3.7473,0
auth,ASUS-X415JA,2026-06-18 12:16:02.732000+00:00,2026-06-18 12:16:02.732000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),3.8027,3.8027,0
